logistic_regression,logreg_log2fc,random_forest_classification,rf_log2fc
ENSG00000243675,0.6633115227467754,ENSG00000125148,-2.0077368398167597
ENSG00000187730,1.6362071700480343,ENSG00000138115,-1.567179759476474
ENSG00000174059,1.7147283130104083,ENSG00000142748,-2.990276746638693
ENSG00000077152,2.9797114902856396,ENSG00000198417,-2.1882864358035112
ENSG00000008300,1.9029405036264975,ENSG00000164344,-1.1293286905242317
ENSG00000225976,1.2054581470063601,ENSG00000126787,2.394640895621852
ENSG00000231739,0.9142717684681333,ENSG00000132703,-0.9671498277351471
ENSG00000174371,2.470043251806847,ENSG00000134612,-1.5964545982676834
ENSG00000227238,0.09418683790896097,ENSG00000165682,-2.5311924022246437
ENSG00000143228,3.3327361138616762,ENSG00000005187,-0.8512524232429985
ENSG00000117650,3.2344833719824813,ENSG00000095002,1.5503655105846024
ENSG00000160746,1.3221513692602307,ENSG00000183281,-1.1288733171759473
ENSG00000204291,2.4066672562786073,ENSG00000117650,3.2344833719824813
ENSG00000024526,2.4603017606628383,ENSG00000164611,3.009763759116694
ENSG00000170323,1.720015382807755,ENSG00000159403,-1.0324533305406192
ENSG00000198203,3.558436987905353,ENSG00000170345,-2.114393929264037
ENSG00000257207,0.3834565877410194,ENSG00000187193,-2.1266151190329303
ENSG00000251035,0.23459043441348443,ENSG00000113600,-1.6346589923255488
ENSG00000274010,-0.057578513323802566,ENSG00000182326,-0.4882976200074278
ENSG00000117724,3.3479975150876298,ENSG00000060762,-0.437802285090684
ENSG00000213190,1.9513942456858704,ENSG00000139178,-0.39255141548759465
ENSG00000066032,1.2944124805022161,ENSG00000182566,-2.853351499647758
ENSG00000103375,0.8042139395567258,ENSG00000249948,-1.5214298806032733
ENSG00000278182,0.03475843059187622,ENSG00000011426,2.606164716314935
ENSG00000144644,1.1433148031730787,ENSG00000183856,2.5953261702797494
ENSG00000115129,1.988450563122551,ENSG00000019169,-2.238476398372277
ENSG00000183671,0.460942475819998,ENSG00000126759,-1.9068754859085382
ENSG00000167670,1.3803604618929661,ENSG00000146674,-1.002012464027441
ENSG00000162444,1.2675706937502635,ENSG00000205364,-2.0290629387450316
ENSG00000238267,0.11095311483407622,ENSG00000198099,-1.8258528236443023
ENSG00000232022,0.6634977731219618,ENSG00000024526,2.4603017606628383
ENSG00000232568,0.34414608124027013,ENSG00000104332,-0.6169215738385857
ENSG00000287810,-0.27669343977686567,ENSG00000172425,-2.213713253038187
ENSG00000066279,2.9787145749992807,ENSG00000169715,-1.8402504168221352
ENSG00000238038,0.34415199684779735,ENSG00000047457,-0.6287573419425634
ENSG00000116985,1.112238410613951,ENSG00000171234,-1.333311252717909
ENSG00000241278,0.1513917303339175,ENSG00000117399,3.381459647140189
ENSG00000228175,1.1038361482841024,ENSG00000171557,-0.7897065664916241
ENSG00000231333,0.8761356900369486,ENSG00000107562,-1.3146139418028042
ENSG00000130300,2.0722961824955357,ENSG00000148965,-1.2128020880013217
