logistic_regression,logreg_log2fc,random_forest_classification,rf_log2fc
ENSG00000204291,2.5647395005781974,ENSG00000138115,-1.557958491219134
ENSG00000167670,1.3677979491053456,ENSG00000198417,-2.270870044765994
ENSG00000170323,1.7455118400722447,ENSG00000126787,2.499653385401286
ENSG00000176194,0.44360297055962244,ENSG00000132703,-0.6584316353275206
ENSG00000228976,0.26285538423771926,ENSG00000182566,-2.9825294246574674
ENSG00000261459,0.12083735899345446,ENSG00000125148,-2.090538127938604
ENSG00000231508,0.8330978485213802,ENSG00000111206,2.714438209220763
ENSG00000135845,1.6535269323237025,ENSG00000142748,-2.874349309784286
ENSG00000130300,2.022451074146319,ENSG00000136011,-1.4383175304936393
ENSG00000153044,1.8956515333815618,ENSG00000011426,2.70595730100231
ENSG00000172331,1.225807442447759,ENSG00000125730,-0.44620608877736423
ENSG00000083857,1.8542815353991493,ENSG00000182326,-0.5160202023817231
ENSG00000174059,1.6802692575233928,ENSG00000118271,-1.3448365541922893
ENSG00000198074,4.980475179158935,ENSG00000095002,1.963880193682071
ENSG00000233300,0.038058624203863876,ENSG00000120158,-0.8341116197640135
ENSG00000105088,1.4072052985154135,ENSG00000159403,-1.066408680597391
ENSG00000148925,1.2448349578136684,ENSG00000146674,-1.0688294243514695
ENSG00000283451,0.2153300174194515,ENSG00000165682,-2.63994151212007
ENSG00000144550,0.4153919306087803,ENSG00000169715,-1.9269076619784204
ENSG00000257838,0.1763293761766862,ENSG00000172425,-2.288244515342045
ENSG00000101210,3.3520514360122178,ENSG00000163217,-1.1864880809190848
ENSG00000187498,2.0013282268834827,ENSG00000139547,-1.4385103145598457
ENSG00000115129,2.095272640111361,ENSG00000120915,-0.5255199783907125
ENSG00000101391,1.1649889318045292,ENSG00000080709,-2.384627341476734
ENSG00000175426,0.4303967829716044,ENSG00000164344,-0.9525152776321129
ENSG00000165810,0.7826574490321248,ENSG00000107562,-1.3401235379004124
ENSG00000276427,0.6470114261511427,ENSG00000131747,3.252843877087705
ENSG00000174165,0.9812060217685774,ENSG00000010610,-0.5890909780736377
ENSG00000067601,1.1998592630299367,ENSG00000060762,-0.48009608795798187
ENSG00000227268,0.456416790354738,ENSG00000148965,-1.2824177084544601
ENSG00000171611,0.3142442642617637,ENSG00000126759,-2.011368420462886
ENSG00000128567,1.5302087869352148,ENSG00000113600,-1.5784865675386017
ENSG00000068366,3.0391356504926144,ENSG00000047457,-0.32800123271105086
ENSG00000233057,0.9170583959886682,ENSG00000187193,-2.210022948521596
ENSG00000142449,1.0894291822402447,ENSG00000198099,-1.8421379490305565
ENSG00000233494,1.439308737930753,ENSG00000171557,-0.7782703609084081
ENSG00000162444,1.3056004481470782,ENSG00000187048,-1.5123550976513407
ENSG00000103375,0.882524045487181,ENSG00000183856,2.432639086413215
ENSG00000095970,2.1598962174034715,ENSG00000205364,-2.115335426709695
ENSG00000228175,1.1872177156483992,ENSG00000186185,2.2046829898821967
ENSG00000241888,0.17173364107426856,ENSG00000117399,3.2573638554136797
ENSG00000143603,0.6128145988231346,ENSG00000115107,-0.7701778679498306
ENSG00000100263,1.2862811772304443,ENSG00000118514,-0.9355198053785809
ENSG00000154096,2.021107790637147,ENSG00000165304,2.811558118507035
ENSG00000117335,1.2955076327535915,ENSG00000157131,-1.0706970603544548
ENSG00000283698,0.7792313678171905,ENSG00000284779,-2.258625318411953
