"CommonWith","CommonWithout","CommonIntersection","Uncommen","UncommonWith","UncommonWithout"
"ENSG00000147257","ENSG00000198074","ENSG00000198074","ENSG00000147257","ENSG00000147257","ENSG00000171848"
"ENSG00000198074","ENSG00000131747","ENSG00000131747","ENSG00000175063","ENSG00000175063","ENSG00000011426"
"ENSG00000131747","ENSG00000170312","ENSG00000170312","ENSG00000198203","ENSG00000198203","ENSG00000112312"
"ENSG00000175063","ENSG00000171848","ENSG00000117399","ENSG00000117650","ENSG00000117650","ENSG00000173702"
"ENSG00000170312","ENSG00000117399","ENSG00000157456","ENSG00000104549","ENSG00000104549","ENSG00000094804"
"ENSG00000117399","ENSG00000011426","ENSG00000165304","ENSG00000123485","ENSG00000123485","ENSG00000106462"
"ENSG00000198203","ENSG00000112312","ENSG00000183856","ENSG00000169679","ENSG00000169679","ENSG00000147889"
"ENSG00000117650","ENSG00000173702","ENSG00000111206","ENSG00000087586","ENSG00000087586","ENSG00000136040"
"ENSG00000104549","ENSG00000091409","ENSG00000091409","ENSG00000143476","ENSG00000143476","ENSG00000136108"
"ENSG00000123485","ENSG00000157456","ENSG00000148773","ENSG00000174371","ENSG00000174371","ENSG00000276043"
"ENSG00000169679","ENSG00000165304","ENSG00000112984","ENSG00000142945","ENSG00000142945","ENSG00000170323"
"ENSG00000157456","ENSG00000111206","ENSG00000101447","ENSG00000088325","ENSG00000088325","ENSG00000132646"
"ENSG00000165304","ENSG00000148773","ENSG00000204291","ENSG00000085999","ENSG00000085999","ENSG00000132676"
"ENSG00000087586","ENSG00000094804","ENSG00000134690","ENSG00000112742","ENSG00000112742","ENSG00000131467"
"ENSG00000143476","ENSG00000112984","ENSG00000121957","ENSG00000072571","ENSG00000072571","ENSG00000114999"
"ENSG00000183856","ENSG00000101447","ENSG00000095002","ENSG00000154096","ENSG00000154096","ENSG00000182134"
"ENSG00000111206","ENSG00000106462","ENSG00000186185","ENSG00000024526","ENSG00000024526","ENSG00000162062"
"ENSG00000174371","ENSG00000183856","ENSG00000221886","ENSG00000145386","ENSG00000145386","ENSG00000115365"
"ENSG00000091409","ENSG00000204291",NA,"ENSG00000143179","ENSG00000143179","ENSG00000064601"
"ENSG00000142945","ENSG00000147889",NA,"ENSG00000189366","ENSG00000189366","ENSG00000167670"
"ENSG00000148773","ENSG00000136040",NA,"ENSG00000129810","ENSG00000129810","ENSG00000003249"
"ENSG00000088325","ENSG00000095002",NA,"ENSG00000197747","ENSG00000197747","ENSG00000132842"
"ENSG00000112984","ENSG00000134690",NA,"ENSG00000174059","ENSG00000174059","ENSG00000115977"
"ENSG00000085999","ENSG00000136108",NA,"ENSG00000144554","ENSG00000144554","ENSG00000008300"
"ENSG00000112742","ENSG00000186185",NA,"ENSG00000163535","ENSG00000163535",NA
"ENSG00000101447","ENSG00000276043",NA,"ENSG00000117593","ENSG00000117593",NA
"ENSG00000072571","ENSG00000170323",NA,"ENSG00000162366","ENSG00000162366",NA
"ENSG00000154096","ENSG00000121957",NA,"ENSG00000087842","ENSG00000087842",NA
"ENSG00000024526","ENSG00000132646",NA,"ENSG00000163159","ENSG00000163159",NA
"ENSG00000145386","ENSG00000132676",NA,"ENSG00000014138","ENSG00000014138",NA
"ENSG00000204291","ENSG00000131467",NA,"ENSG00000105186","ENSG00000105186",NA
"ENSG00000143179","ENSG00000114999",NA,"ENSG00000160767","ENSG00000160767",NA
"ENSG00000134690","ENSG00000182134",NA,"ENSG00000198700","ENSG00000198700",NA
"ENSG00000189366","ENSG00000162062",NA,"ENSG00000224287","ENSG00000224287",NA
