"CommonWith","CommonWithout","CommonIntersection","Uncommen","UncommonWith","UncommonWithout"
"chromosome organization","mitotic cell cycle process","chromosome organization","regulation of reproductive process","regulation of reproductive process","structural molecule activity"
"mitotic cell cycle process","mitotic cell cycle","mitotic cell cycle process","protein localization to chromosome, centromeric region","protein localization to chromosome, centromeric region","protein-DNA complex organization"
"mitotic cell cycle","cell division","mitotic cell cycle","regulation of meiotic cell cycle","regulation of meiotic cell cycle","animal organ regeneration"
"chromosome segregation","regulation of nuclear division","chromosome segregation","cytoskeleton-dependent cytokinesis","cytoskeleton-dependent cytokinesis","extracellular region"
"cell cycle","regulation of mitotic nuclear division","cell cycle","protein localization to chromosome","protein localization to chromosome","extracellular organelle"
"cell division","nuclear division","cell division","microtubule","microtubule","extracellular membrane-bounded organelle"
"cell cycle process","chromosomal region","cell cycle process","intracellular signal transduction","intracellular signal transduction","extracellular vesicle"
"nuclear chromosome segregation","mitotic nuclear division","nuclear chromosome segregation","cell population proliferation","cell population proliferation","positive regulation of cytokinesis"
"nuclear division","mitotic cell cycle phase transition","nuclear division","meiotic cell cycle phase transition","meiotic cell cycle phase transition","cortical actin cytoskeleton organization"
"chromosomal region","chromosome organization","chromosomal region","microtubule-based process","microtubule-based process","extracellular space"
"sister chromatid segregation","nuclear chromosome segregation","sister chromatid segregation","polymeric cytoskeletal fiber","polymeric cytoskeletal fiber","positive regulation of cell population proliferation"
"mitotic cell cycle phase transition","cell cycle process","mitotic cell cycle phase transition","positive regulation of cellular component organization","positive regulation of cellular component organization","positive regulation of apoptotic process"
"mitotic nuclear division","regulation of mitotic cell cycle phase transition","mitotic nuclear division","tubulin binding","tubulin binding","extracellular exosome"
"cell cycle phase transition","mitotic sister chromatid segregation","cell cycle phase transition","positive regulation of biological process","positive regulation of biological process","protein-containing complex assembly"
"organelle fission","chromosome, centromeric region","organelle fission","microtubule organizing center","microtubule organizing center","cyclin-dependent protein kinase holoenzyme complex"
"mitotic sister chromatid segregation","cell cycle phase transition","mitotic sister chromatid segregation","telomere organization","telomere organization","oxidoreductase activity"
"regulation of mitotic cell cycle","chromosome segregation","regulation of mitotic cell cycle","peptidase inhibitor activity","peptidase inhibitor activity","positive regulation of programmed cell death"
"chromosome, centromeric region","cell cycle","chromosome, centromeric region","chromosome condensation","chromosome condensation","positive regulation of transport"
"regulation of mitotic cell cycle phase transition","structural molecule activity","regulation of mitotic cell cycle phase transition","enzyme regulator activity","enzyme regulator activity","chromatin"
"regulation of nuclear division","organelle fission","regulation of nuclear division","anaphase-promoting complex","anaphase-promoting complex","collagen-containing extracellular matrix"
"chromosome","regulation of mitotic cell cycle","chromosome","centrosome","centrosome","external encapsulating structure"
"regulation of cell cycle","sister chromatid segregation","regulation of cell cycle","organelle localization","organelle localization","extracellular matrix"
"regulation of mitotic nuclear division","chromosome separation","regulation of mitotic nuclear division","establishment of organelle localization","establishment of organelle localization","monocarboxylic acid biosynthetic process"
"regulation of cell cycle phase transition","regulation of chromosome separation","regulation of cell cycle phase transition","peptidase regulator activity","peptidase regulator activity","hormone metabolic process"
"regulation of cell cycle process","regulation of mitotic sister chromatid separation","regulation of cell cycle process","spindle microtubule","spindle microtubule","liver regeneration"
"microtubule cytoskeleton organization involved in mitosis","mitotic sister chromatid separation","microtubule cytoskeleton organization involved in mitosis","positive regulation of cell cycle G1/S phase transition","positive regulation of cell cycle G1/S phase transition","regulation of GTPase activity"
"regulation of chromosome segregation","regulation of mitotic metaphase/anaphase transition","regulation of chromosome segregation","molecular function regulator activity","molecular function regulator activity","developmental process"
"positive regulation of cell cycle process","regulation of metaphase/anaphase transition of cell cycle","positive regulation of cell cycle process","cellular response to stimulus","cellular response to stimulus","cell death"
"negative regulation of mitotic nuclear division","regulation of cell cycle process","negative regulation of mitotic nuclear division","regulation of protein catabolic process","regulation of protein catabolic process","programmed cell death"
"negative regulation of nuclear division","mitotic spindle assembly checkpoint signaling","negative regulation of nuclear division","kinase binding","kinase binding","apoptotic process"
"regulation of mitotic sister chromatid segregation","spindle checkpoint signaling","regulation of mitotic sister chromatid segregation","spindle midzone","spindle midzone","regulation of cell cycle G1/S phase transition"
"cellular component organization","spindle assembly checkpoint signaling","cellular component organization","centrosome localization","centrosome localization","regulation of peptide transport"
"metaphase/anaphase transition of mitotic cell cycle","mitotic spindle checkpoint signaling","metaphase/anaphase transition of mitotic cell cycle","microtubule organizing center localization","microtubule organizing center localization","anion binding"
